Route 10,Bobcat Stadium,Bobcat Stadium East,Bobcat Stadium West,Lyndon,Summit,Uptown Square,UAC
Route 12,Bobcat Village,Mills Street Lot,UEC,LBJ Student Center,Matthews Street Lot,Quad
Route 14,Campus Loop,Rec Center,James Street,Ingram,Woods Street,Latana,Sewell,Sessom,Quad,LBJ Student Center,Water Tower,Speck Garage
Route 20,Aquarena Spring,River Oaks Villas,Riverside Ranch,UAC
Route 21,Blanco River,Grove,Heights II,UAC,Castle Rock
Route 22,Mill Street,Telluride,Verandah,Copper Beech,Old Mill,Quad
Route 23,Post Road,The Outpost,Elevation,Village Green,West Ave,Quad
Route 24,Bishop Square,Algarita,Retreat,Speck Garage,LBJ Student Center
Route 25,Ranch Road,The Edge,Dakota Ranch,Retreat,Speck Garage,LBJ Student Center,HighCrest
Route 26,WonderWorld 1,Cabana Beach,Spring Marc,University Club,Palazzo,Tower
Route 28,Holland,Quad
Route 40,Aquarena/Blanco,UAC,River Oaks Villas,Riverside Ranch,Castle Rock,Grove,Heights II
Route 42,Mill/Post,Quad,The Outpost,Elevation,Village Green,Telluride,Verandah,Copper Beech,Old Mill,West Ave
Route 44,Ranch Road/Craddock/Holland,LBJ Student Center,Quad,Hillside Ranch,Bishop Square,Algarita,The Edge,Dakota Ranch,Retreat,Speck Garage
Route 45,Campus Connector,LBJ Student Center,Water Tower,Speck Garage,Rec Center,James Street,Ingram,Woods Street,Latana,Sewell,UEC,Mills Street Lot,Spring Lake Fields,Sessom,Quad
Route 46,WonderWorld 2,Tower,Cabana Beach,Spring Marc,University Club,Palazzo
Route 50,Night East,UAC,Bobcat Stadium East,Bobcat Stadium West,Lyndon,Summit,Uptown Square,River Oaks Villas,Riverside Ranch,Castle Rock,Grove,Heights II
Route 52,Night North,Quad,The Outpost,Elevation,Village Green,Telluride,Verandah,Copper Beech,Old Mill,West Ave
Route 54,Night West,LBJ Student Center,Quad,Hillside Ranch,Bishop Square,Algarita,The Edge,Dakota Ranch,Retreat,Speck Garage
Route 55,Night Connector,LBJ Student Center,Water Tower,Speck Garage,Rec Center,James Street,Ingram,Woods Street,Latana,Sewell,UEC,Mills Street Lot,Spring Lake Fields,Sessom,Quad
Route 56,Night South,Tower,Cabana Beach,Spring Marc,University Club,Palazzo
Route 67,San Marcos Circulator,Quad,Hillside Ranch,Bishop Square,Algarita,The Edge,Dakota Ranch,Retreat,Speck Garage,Rec Center,James Street,Ingram,Woods Street,Latana,Lyndon,Summit,Uptown Square,River Oaks Villas,Riverside Ranch,Castle Rock,Grove,Heights II,Verandah,Copper Beech,Old Mill,The Outpost,Elevation,Village Green,West Ave,Mills Street Lot,UEC,Sessom
Route 68,San Marcos Marketplace,UAC,Cabana Beach,Spring Marc,University Club,Palazzo,Target,Prime Outlet
